title,english_title,type,episodes,duration,source,season,genres,tags,score,start_date,country_of_origin
ONE PIECE,ONE PIECE,TV,1179.0,24.0,MANGA,FALL,Action;Adventure;Comedy;Drama;Fantasy,Pirates;Travel;Shounen;Ensemble Cast;Super Power;Found Family;Male Protagonist;Tragedy;Conspiracy;Ships;Prophecy;Slapstick;Politics;Time Skip;Royal Affairs;War;Dystopian;Slavery;Fugitive;Gods;Crime;Lost Civilization;Swordplay;Philosophy;Henshin;Cyborg;Monster Boy;Anti-Hero;Primarily Adult Cast;Shapeshifting;Food;Robots;Animals;Anthropomorphism;Skeleton;Desert;Anachronism;Guns;Post-Apocalyptic;Prison;Medicine;Samurai;Espionage;Indigenous Cultures;Drugs;Artificial Intelligence;Marriage;Aromantic;Revenge;Kuudere;Fairy;Monster Girl;Dragons;Assassins;Battle Royale;Demons;Adoption;Ninja;Mermaid;Dinosaurs;Kabuki;Kaiju;Angels;Time Manipulation;Clone;Zombie;Arranged Marriage;Gender Bending;Blackmail;Unrequited Love;Trains;Human Experimentation;Interspecies;Fake Relationship;Brainwashing,87.0,1999-10-20,JP
Nonohara Yuka no Himitsu no Haishin,,OVA,1.0,16.0,OTHER,WINTER,Hentai,Filmmaking;Female Protagonist;Sex Toys;Masturbation;Large Breasts;Drugs;Boobjob;Nakadashi;Fellatio,67.0,2025-02-28,JP
Shiranai Koto Shiritai no? The Animation,,OVA,1.0,20.0,MANGA,WINTER,Hentai,Large Breasts;Nakadashi;Fellatio,65.0,2025-02-28,JP
Yuusha-chan no Bouken wa Owatte Shimatta!,,OVA,1.0,15.0,OTHER,WINTER,Hentai,Rape;Nudity,53.0,2025-02-28,JP
Immoral Routine The Animation,,OVA,1.0,30.0,MANGA,WINTER,Hentai,Masturbation;Public Sex;School;Heterosexual;Sex Toys,71.0,2025-03-28,JP
Ajin ga Osuki nan desu ne♡,,OVA,1.0,20.0,MANGA,WINTER,Hentai,Heterosexual;Episodic;Ahegao;Anthology;Fellatio;Female Protagonist;Large Breasts;Nakadashi;Nudity;Primarily Adult Cast,60.0,2025-03-28,JP
Hametsu no Yuuwaku,,OVA,1.0,20.0,ORIGINAL,WINTER,Hentai,Inseki;Teacher;Public Sex;School;Cunnilingus;Masturbation;Squirting;Nudity;Trains,56.0,2025-03-28,JP
"Akogare no Onna Joushi ga, Aibeya Shucchou no Tonari no Bed de Zetsurin Otoko ni Netorarete Iru",,OVA,1.0,22.0,LIGHT_NOVEL,SPRING,Hentai,Netorare,56.0,2025-04-04,JP
Koupen-chan,,TV_SHORT,77.0,2.0,ORIGINAL,SPRING,Slice of Life,Iyashikei;Animals;Primarily Animal Cast;Chibi;Episodic;Agender;Educational,69.0,2025-04-06,JP
Yu-Gi-Oh! CARD GAME: THE CHRONICLES,Yu-Gi-Oh! CARD GAME: THE CHRONICLES,ONA,1.0,4.0,OTHER,SPRING,Action;Fantasy,Episodic;Card Battle;Advertisement;Female Protagonist;Super Robot;Real Robot;Shapeshifting;Anthropomorphism;Travel;Nekomimi,59.0,2025-04-21,JP
Fuuki Iin to Fuuzoku Katsudou,,OVA,1.0,16.0,OTHER,SPRING,Hentai,School;Large Breasts;Tanned Skin;Female Protagonist;Male Protagonist;Boobjob;Fellatio;Nakadashi,71.0,2025-04-25,JP
Amai Ijiwaru,,OVA,1.0,24.0,ORIGINAL,SPRING,Hentai,,56.0,2025-04-25,JP
Boku no Risou no Isekai Seikatsu,,OVA,1.0,16.0,OTHER,SPRING,Hentai,Kemonomimi;Isekai;Female Harem;Nekomimi;Flat Chest;Slavery;Sumata;Bisexual;LGBTQ+ Themes;Monster Boy,66.0,2025-05-02,JP
Inshoku-Ou Demar,,OVA,1.0,30.0,ORIGINAL,SPRING,Hentai,Tentacles;Rape;Fellatio;Double Penetration;Monster Boy,54.0,2025-05-30,JP
Kuro Gal A La Carte,,OVA,1.0,20.0,MANGA,SPRING,Hentai;Romance,Tanned Skin;Gyaru;Fellatio;Virginity;Teens' Love;Mating Press;Nakadashi,60.0,2025-06-06,JP
Princess Burst!: Kiken-bi no Tanetsuke Haramase Shuuchi Battle!,,OVA,1.0,,VIDEO_GAME,SPRING,Hentai,Nudity;Rape;Wrestling,52.0,2025-06-27,JP
Chibi Godzilla no Gyakushuu 3,Chibi Godzilla Raids Again Season 3,TV_SHORT,1.0,3.0,OTHER,SUMMER,Comedy;Fantasy,Chibi;Kaiju,,2025-07-02,JP
Kanojo ga Separate wo Matou Riyuu,,ONA,1.0,13.0,MANGA,SUMMER,Hentai,Masturbation;Nakadashi,53.0,2025-07-04,JP
Immoral Game Master THE ANIMATION,,OVA,1.0,20.0,MANGA,SUMMER,Adventure;Fantasy;Hentai,Virtual World;Anal Sex;Rape;Large Breasts;Prostitution;Tentacles;School;Cervix Penetration,61.0,2025-07-25,JP
Kyou wa Yubiwa wo Hazusu kara......,,OVA,1.0,20.0,ORIGINAL,SUMMER,Hentai,,50.0,2025-07-25,JP
Shachiku Cinderella,,OVA,1.0,,ORIGINAL,SUMMER,Hentai,,55.0,2025-08-29,JP
Koushoku no Chuugi Kunoichi Botan,,OVA,1.0,20.0,OTHER,SUMMER,Hentai,Flat Chest;Netorare;Ninja;Nakadashi,56.0,2025-08-29,JP
Mujin Eki The Animation,,OVA,1.0,20.0,OTHER,SUMMER,Hentai,Rape;Blackmail;Trains,58.0,2025-08-29,JP
Purepure Peropero Princess,,OVA,1.0,,VISUAL_NOVEL,SUMMER,Hentai,Isekai;Matriarchy;Medieval;Nakadashi;Oyakodon;Fellatio;Squirting;Boobjob;Handjob;Group Sex,59.0,2025-08-29,JP
Inpuru-kun no Sonzai Shinai Oshigoto,,ONA,1.0,3.0,OTHER,FALL,Comedy,,,2025-09-01,JP
Kiken na Mori Onigokko,,OVA,1.0,,OTHER,SUMMER,Hentai,,46.0,2025-09-26,JP
Sister Breeder,,OVA,4.0,20.0,MANGA,FALL,Hentai,Inseki;Incest;Nakadashi;Anal Sex;Sex Toys;Heterosexual;Fellatio;LGBTQ+ Themes;Bisexual,71.0,2025-09-26,JP
Korette Naani?,,OVA,1.0,,ORIGINAL,SUMMER,Hentai,MILF,57.0,2025-09-26,JP
Ganso! Bandori-chan,GANSO! BanG Dream Chan,ONA,52.0,1.0,OTHER,FALL,Comedy;Music,Primarily Female Cast;Chibi;Primarily Teen Cast;Cute Girls Doing Cute Things;Episodic;Surreal Comedy;Band;Ensemble Cast;Parody;School,68.0,2025-10-02,JP
DIGIMON BEATBREAK,DIGIMON BEATBREAK,TV,49.0,24.0,ORIGINAL,FALL,Action;Adventure;Fantasy;Sci-Fi,Proxy Battle;Urban;Artificial Intelligence;Found Family;Primarily Teen Cast;Dystopian;Male Protagonist;Anthropomorphism;Ensemble Cast;Conspiracy,69.0,2025-10-05,JP
Ugoku! Neko Mukashi Banashi,Cat Tales,ONA,50.0,3.0,MANGA,FALL,Comedy,Fairy Tale;Kids;Animals;Episodic;Primarily Animal Cast;Chibi;Detective;Historical,54.0,2025-10-15,JP
Choro Mesu Days,,OVA,1.0,,MANGA,FALL,Hentai,Large Breasts;Incest;Boobjob;Inseki;Fellatio;Masturbation;Nakadashi;POV;Male Protagonist;Female Protagonist,66.0,2025-10-17,JP
Honey Blonde 2,,OVA,1.0,20.0,MANGA,FALL,Hentai,,61.0,2025-10-24,JP
Reika wa Karei na Boku no Joou THE ANIMATION,,OVA,1.0,20.0,MANGA,FALL,Hentai,Nakadashi;Maids;Ashikoki;Femdom;Feet;LGBTQ+ Themes;Bisexual,72.0,2025-10-24,JP
Seikon no Aria,,OVA,1.0,,VIDEO_GAME,FALL,Hentai,Nun;Fellatio,56.0,2025-10-31,JP
Natsuzuma,,OVA,1.0,16.0,OTHER,FALL,Hentai,MILF;Large Breasts;Blackmail;Threesome;Cheating;Netori;Fellatio;Facial;Nakadashi;Netorare,67.0,2025-10-31,JP
Do S na Pet,,OVA,1.0,,ORIGINAL,FALL,Hentai,Human Pet;Large Breasts;Nakadashi;Fellatio;Cunnilingus;Ahegao;Blackmail;Defloration;School;LGBTQ+ Themes,53.0,2025-11-28,JP
Nagachichi Nagai-san THE ANIMATION,,OVA,1.0,20.0,OTHER,FALL,Hentai,Acrobatics;Nudity;Large Breasts;DILF;Irrumatio;Nakadashi;Mating Press;Boobjob;Ahegao,57.0,2025-11-28,JP
Oshikake! Bakunyuu Gal Harem Seikatsu,,OVA,1.0,16.0,OTHER,FALL,Hentai,Gyaru;Female Harem;Nakadashi;Group Sex;Boobjob;Fellatio;Femdom;Cunnilingus;Mating Press;Tanned Skin,69.0,2025-11-28,JP
Natsu to Hako,,OVA,1.0,,MANGA,FALL,Hentai,Public Sex;Nudity;Outdoor Activities;Mating Press;Large Breasts;Handjob;Nakadashi;Ashikoki;Sweat;Primarily Teen Cast,67.0,2025-12-05,JP
mofusand,,ONA,38.0,1.0,ORIGINAL,WINTER,Slice of Life,Iyashikei;Animals;Primarily Animal Cast;No Dialogue;Episodic;Full CGI;Family Life;Adoption,61.0,2025-12-22,JP
Seihou Shouka Saint Lime VN: VeasTube Eroero Haishin Edition♪,,OVA,1.0,,OTHER,FALL,Hentai,,49.0,2025-12-26,JP
Cool de M,,OVA,1.0,,ORIGINAL,FALL,Hentai,,57.0,2025-12-26,JP
Zeztz Anime: Dream Arbeiter Baku,,ONA,1.0,7.0,OTHER,FALL,Comedy,Tokusatsu;Chibi;Primarily Adult Cast;Ensemble Cast;Male Protagonist,,2025-12-28,JP
Seikou Senki Pony Celes,,OVA,1.0,,OTHER,WINTER,Hentai,Female Protagonist;Rape;Large Breasts;Henshin;Nakadashi;Vore;Tentacles;School;Magic,47.0,2026-01-30,JP
Onee-chan Gokko,Playing Sister,ONA,3.0,25.0,ORIGINAL,WINTER,Mystery;Psychological;Supernatural;Thriller,Female Protagonist;Clone;Urban Fantasy;Monster Girl;Disability;Mythology;Primarily Female Cast;Rural;Denpa;Family Life,64.0,2026-01-31,JP
Meitantei Precure!,Star Detective Precure!,TV,51.0,24.0,ORIGINAL,WINTER,Mahou Shoujo;Mystery,Female Protagonist;Henshin;Primarily Child Cast;Kids;Detective;Primarily Female Cast;Amnesia;Urban Fantasy;Fairy;Coastal,75.0,2026-02-01,JP
Yani Neko Mini,,ONA,1.0,1.0,MANGA,WINTER,Comedy,Chibi;Nekomimi;Female Protagonist,54.0,2026-02-22,JP
"Mou Ichido, Shitemitai.",,OVA,1.0,,MANGA,WINTER,Hentai,Office;Nakadashi;Mating Press;Fellatio;Masturbation;Tsundere;Office Lady,70.0,2026-02-27,JP
L'amour fou de l'automate,,OVA,1.0,,ORIGINAL,WINTER,Hentai,,57.0,2026-02-27,JP
Kenki Virgo,,OVA,1.0,,OTHER,WINTER,Hentai,Rape;Large Breasts;Nakadashi;DILF;Mating Press;Handjob;Interspecies;Prostitution;Ahegao;Succubus,51.0,2026-02-27,JP
PetitCure: Precure Fairies Season 3,,ONA,26.0,,ORIGINAL,SPRING,Fantasy;Slice of Life,Magic;Kids;Crossover;Fairy;No Dialogue;Primarily Animal Cast;Animals;Chibi,,2026-03-26,JP
Hebi to Kumo,,OVA,1.0,,OTHER,WINTER,Hentai,Nakadashi;Fellatio;Cunnilingus;Office Lady;Irrumatio;Masturbation;Ashikoki;Nudity,58.0,2026-03-27,JP
Phantom Alchemia: Sylvia no Dokidoki Sakusei Toshi Keikaku,,OVA,1.0,,OTHER,WINTER,Fantasy;Hentai,Heterosexual;Nudity;Rape;Virginity,52.0,2026-03-27,JP
Tensei Shitara Slime Datta Ken 4th Season,That Time I Got Reincarnated as a Slime Season 4,TV,24.0,24.0,LIGHT_NOVEL,SPRING,Action;Adventure;Comedy;Fantasy,Kingdom Management;Isekai;Ensemble Cast;Magic;Demons;Gender Bending;Time Loop;Politics;Conspiracy;Swordplay,83.0,2026-04-03,JP
Mairimashita! Iruma-kun 4,Welcome to Demon School! Iruma-kun Season 4,TV,24.0,25.0,MANGA,SPRING,Comedy;Fantasy;Supernatural,School;Demons;Magic;Isekai;Primarily Teen Cast;Shounen;Male Protagonist;Monster Boy;Monster Girl;Ensemble Cast,80.0,2026-04-04,JP
Honzuki no Gekokujou: Ryoushu no Youjo,Ascendance of a Bookworm: Adopted Daughter of an Archduke,TV,24.0,24.0,LIGHT_NOVEL,SPRING,Drama;Fantasy;Slice of Life,Writing;Coming of Age;Magic;Female Protagonist;Isekai;Politics;Religion;Gods;Conspiracy;Josei,76.0,2026-04-04,JP
MAO,MAO,TV,26.0,25.0,MANGA,SPRING,Drama;Mystery;Romance;Supernatural,Historical;Demons;Youkai;Shounen;Male Protagonist;Isekai;Exorcism;Female Protagonist;Primarily Teen Cast;Natural Disaster,65.0,2026-04-04,JP
Rilakkuma,RILAKKUMA,TV_SHORT,25.0,1.0,OTHER,SPRING,Fantasy;Slice of Life,Animals,62.0,2026-04-04,JP
Oshiri Dandy the Young,,TV,1.0,,OTHER,SPRING,,,,2026-04-04,JP
Onegai AiPri,,TV,25.0,,OTHER,SPRING,Music,Idol;Primarily Female Cast;Female Protagonist;Primarily Teen Cast;Advertisement;Cute Girls Doing Cute Things;Kids;Henshin;CGI;Virtual World,55.0,2026-04-05,JP
LIAR GAME,LIAR GAME,TV,26.0,24.0,MANGA,SPRING,Drama;Psychological,Gambling;Female Protagonist;Primarily Adult Cast;Seinen;Male Protagonist;Coming of Age;Conspiracy;Ensemble Cast;Death Game;Transgender,62.0,2026-04-07,JP
Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,Re:ZERO -Starting Life in Another World- Season 4,TV,19.0,24.0,LIGHT_NOVEL,SPRING,Action;Adventure;Drama;Fantasy;Psychological;Romance;Thriller,Memory Manipulation;Seinen;Dissociative Identities;Time Loop;Male Protagonist;Amnesia;Magic;Witch;Gore;Denpa,90.0,2026-04-08,JP
Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 4th Season,,ONA,17.0,3.0,LIGHT_NOVEL,SPRING,Adventure;Comedy;Fantasy,Medieval;Chibi;Flash;Maids;Parody,68.0,2026-04-08,JP
Shou 3 Ashibe QQ Goma-chan,,TV_SHORT,1.0,,MANGA,SPRING,Comedy;Slice of Life,,,2026-04-12,JP
Odekake Kozame Season 2,Little Shark's Day Out Season 2,TV_SHORT,72.0,2.0,MANGA,SPRING,Slice of Life,Animals;Primarily Animal Cast;Iyashikei,,2026-04-12,JP
Candy Caries,,TV_SHORT,24.0,3.0,ORIGINAL,SPRING,Comedy,Stop Motion;Mixed Media;Primarily Female Cast;Surreal Comedy;Aliens;Primarily Child Cast,58.0,2026-04-15,JP
Todo no Tsumari,,OVA,1.0,,ORIGINAL,SPRING,Hentai,Fellatio;Public Sex;Nakadashi;Rape;Large Breasts,53.0,2026-04-24,JP
Otaku no Boku ga Ichigun Gal to Tsukiaeru Made no Hanashi,,ONA,1.0,,OTHER,SPRING,Hentai,Male Protagonist;Gyaru;Fellatio;Anal Sex;Femdom;Virginity;Large Breasts;Mating Press,59.0,2026-04-29,JP
Looney Tunes Gokko,,TV_SHORT,1.0,1.0,ORIGINAL,SPRING,Comedy,Primarily Animal Cast;Animals;No Dialogue;Slapstick;Anthropomorphism,,2026-04-30,JP
Transformers: Wild King W,,ONA,1.0,4.0,OTHER,SPRING,Action;Mecha;Sci-Fi,Shapeshifting;Super Robot;Full CGI,,2026-05-20,JP
Paihame Kazoku,,OVA,1.0,16.0,OTHER,SPRING,Hentai,Large Breasts;Rape;Boobjob;Nakadashi;Ahegao;Mating Press;Asphyxiation;Otaku Culture;MILF;DILF,52.0,2026-05-29,JP
Seishidouin no Oshigoto The Animation,,OVA,1.0,,OTHER,SPRING,Hentai,Nudity,53.0,2026-05-29,JP
Muchuu no Tou,,OVA,1.0,,OTHER,SPRING,Hentai,,,2026-05-29,JP
Heart Mark Oome.,,OVA,1.0,16.0,MANGA,SPRING,Hentai,Inseki;Gyaru;LGBTQ+ Themes;Bisexual;Incest,67.0,2026-05-29,JP
